"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099622","GO:0099622","cardiac muscle cell membrane repolarization","3/79","42/18805",0.0714285714285714,17.002712477396,6.74346745047048,0.000728009342317942,0.0647605612843384,0.0572601288160325,"3760/2697/3759",3
"GO:0061337","GO:0061337","cardiac conduction","4/79","97/18805",0.0412371134020619,9.81599895602244,5.65405298447906,0.000743369035674378,0.0647605612843384,0.0572601288160325,"3760/2697/3759/157378",4
"GO:0050905","GO:0050905","neuromuscular process","5/79","176/18805",0.0284090909090909,6.76244246260069,4.9886647805272,0.000874078710904127,0.0719172539360562,0.0635879483254231,"4747/54112/1812/116443/3759",5
"GO:0051259","GO:0051259","protein complex oligomerization","6/79","276/18805",0.0217391304347826,5.17473858007705,4.53809928439307,0.00107383184186346,0.0813947443886694,0.0719677756988555,"10409/386618/3739/27012/3787/3759",6
"GO:0007194","GO:0007194","negative regulation of adenylate cyclase activity","2/79","12/18805",0.166666666666667,39.6729957805907,8.7039530405888,0.00111914289901042,0.0813947443886694,0.0719677756988555,"9568/9495",2
"GO:0021537","GO:0021537","telencephalon development","6/79","280/18805",0.0214285714285714,5.10081374321881,4.49041116487911,0.0011561897412389,0.0813947443886694,0.0719677756988555,"4747/63974/7280/1812/8851/4142",6
"GO:0015824","GO:0015824","proline transport","2/79","13/18805",0.153846153846154,36.6212268743914,8.34468995300638,0.00131902354174751,0.0813947443886694,0.0719677756988555,"388662/6534",2
"GO:0060134","GO:0060134","prepulse inhibition","2/79","13/18805",0.153846153846154,36.6212268743914,8.34468995300638,0.00131902354174751,0.0813947443886694,0.0719677756988555,"1812/116443",2
"GO:0060732","GO:0060732","positive regulation of inositol phosphate biosynthetic process","2/79","13/18805",0.153846153846154,36.6212268743914,8.34468995300638,0.00131902354174751,0.0813947443886694,0.0719677756988555,"5028/4142",2
"GO:0018958","GO:0018958","phenol-containing compound metabolic process","4/79","116/18805",0.0344827586206897,8.20820602357049,5.05800566066508,0.00144653893200055,0.0855650713350952,0.0756551041194488,"1812/9365/114798/23596",4
"GO:0010919","GO:0010919","regulation of inositol phosphate biosynthetic process","2/79","15/18805",0.133333333333333,31.7383966244726,7.73534355280133,0.0017659605730947,0.0855650713350952,0.0756551041194488,"5028/4142",2
"GO:0098693","GO:0098693","regulation of synaptic vesicle cycle","2/79","15/18805",0.133333333333333,31.7383966244726,7.73534355280133,0.0017659605730947,0.0855650713350952,0.0756551041194488,"8851/8927",2
"GO:0006584","GO:0006584","catecholamine metabolic process","3/79","58/18805",0.0517241379310345,12.3123090353557,5.60422451243267,0.00186465480185083,0.0855650713350952,0.0756551041194488,"1812/9365/114798",3
"GO:0009712","GO:0009712","catechol-containing compound metabolic process","3/79","58/18805",0.0517241379310345,12.3123090353557,5.60422451243267,0.00186465480185083,0.0855650713350952,0.0756551041194488,"1812/9365/114798",3
"GO:0098739","GO:0098739","import across plasma membrane","5/79","209/18805",0.0239234449760766,5.69468838955848,4.43288334770231,0.00187105438485249,0.0855650713350952,0.0756551041194488,"3760/728215/9495/6534/3759",5
"GO:0086009","GO:0086009","membrane repolarization","3/79","59/18805",0.0508474576271186,12.1036258313667,5.54820724861719,0.00195864536525198,0.0855650713350952,0.0756551041194488,"3760/2697/3759",3
"GO:0042415","GO:0042415","norepinephrine metabolic process","2/79","16/18805",0.125,29.754746835443,7.47366907318333,0.00201275249953136,0.0855650713350952,0.0756551041194488,"9365/114798",2
"GO:0051350","GO:0051350","negative regulation of lyase activity","2/79","16/18805",0.125,29.754746835443,7.47366907318333,0.00201275249953136,0.0855650713350952,0.0756551041194488,"9568/9495",2
"GO:0099509","GO:0099509","regulation of presynaptic cytosolic calcium ion concentration","2/79","16/18805",0.125,29.754746835443,7.47366907318333,0.00201275249953136,0.0855650713350952,0.0756551041194488,"5028/793",2
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","3/79","60/18805",0.05,11.9018987341772,5.49352624682018,0.00205553941638361,0.0855650713350952,0.0756551041194488,"5028/793/7224",3
"GO:0086002","GO:0086002","cardiac muscle cell action potential involved in contraction","3/79","61/18805",0.0491803278688525,11.7067856401743,5.44012708056858,0.00215536824654023,0.0855650713350952,0.0756551041194488,"3760/2697/3759",3
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","4/79","130/18805",0.0307692307692308,7.32424537487829,4.69965783949979,0.00219545760346632,0.0855650713350952,0.0756551041194488,"3760/728215/9495/3759",4
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","4/79","130/18805",0.0307692307692308,7.32424537487829,4.69965783949979,0.00219545760346632,0.0855650713350952,0.0756551041194488,"3760/728215/9495/3759",4
"GO:0015816","GO:0015816","glycine transport","2/79","17/18805",0.117647058823529,28.0044676098287,7.23495712750076,0.00227491840667463,0.0863885682124391,0.0763832253145273,"388662/6534",2
"GO:0099504","GO:0099504","synaptic vesicle cycle","5/79","222/18805",0.0225225225225225,5.36121564602577,4.24563145881591,0.00243236068984861,0.0900581545416446,0.0796278078466228,"57586/5028/57084/8851/8927",5
"GO:0086014","GO:0086014","atrial cardiac muscle cell action potential","2/79","19/18805",0.105263157894737,25.0566289140573,6.81413240219952,0.00284485210131569,0.096631164442978,0.0854395455183658,"3760/2697",2
"GO:0086026","GO:0086026","atrial cardiac muscle cell to AV node cell signaling","2/79","19/18805",0.105263157894737,25.0566289140573,6.81413240219952,0.00284485210131569,0.096631164442978,0.0854395455183658,"3760/2697",2
"GO:0086066","GO:0086066","atrial cardiac muscle cell to AV node cell communication","2/79","19/18805",0.105263157894737,25.0566289140573,6.81413240219952,0.00284485210131569,0.096631164442978,0.0854395455183658,"3760/2697",2
"GO:0007200","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","4/79","140/18805",0.0285714285714286,6.80108499095841,4.47481830939694,0.00287087861950779,0.096631164442978,0.0854395455183658,"1812/5028/139189/4142",4
"GO:0071880","GO:0071880","adenylate cyclase-activating adrenergic receptor signaling pathway","2/79","20/18805",0.1,23.8037974683544,6.62724049119612,0.00315236185026079,0.103747731116361,0.0917318863561268,"83550/1812",2
"GO:0050772","GO:0050772","positive regulation of axonogenesis","3/79","74/18805",0.0405405405405405,9.65018816284639,4.84258318686781,0.00373349699259765,0.120202370566024,0.106280783954038,"4747/7224/114798",3
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","5/79","258/18805",0.0193798449612403,4.61313904425473,3.79554241667689,0.00461809829069703,0.145519224862177,0.128665493250327,"57586/5028/57084/8851/8927",5
"GO:0006865","GO:0006865","amino acid transport","4/79","165/18805",0.0242424242424242,5.77061756808592,3.99769611968574,0.00515350322022607,0.151346290673823,0.133817680513334,"388662/57084/2697/6534",4
"GO:0021542","GO:0021542","dentate gyrus development","2/79","26/18805",0.0769230769230769,18.3106134371957,5.73692349885466,0.0053050167978815,0.151346290673823,0.133817680513334,"63974/1812",2
"GO:0090128","GO:0090128","regulation of synapse maturation","2/79","26/18805",0.0769230769230769,18.3106134371957,5.73692349885466,0.0053050167978815,0.151346290673823,0.133817680513334,"4747/4761",2
"GO:0007193","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","3/79","85/18805",0.0352941176470588,8.40134028294862,4.44204618567133,0.00550407874258886,0.151346290673823,0.133817680513334,"9568/5028/9495",3
"GO:0086001","GO:0086001","cardiac muscle cell action potential","3/79","85/18805",0.0352941176470588,8.40134028294862,4.44204618567133,0.00550407874258886,0.151346290673823,0.133817680513334,"3760/2697/3759",3
"GO:0086003","GO:0086003","cardiac muscle cell contraction","3/79","85/18805",0.0352941176470588,8.40134028294862,4.44204618567133,0.00550407874258886,0.151346290673823,0.133817680513334,"3760/2697/3759",3
"GO:0032958","GO:0032958","inositol phosphate biosynthetic process","2/79","27/18805",0.0740740740740741,17.6324425691514,5.617323100802,0.00571389105668314,0.151346290673823,0.133817680513334,"5028/4142",2
"GO:0035235","GO:0035235","ionotropic glutamate receptor signaling pathway","2/79","27/18805",0.0740740740740741,17.6324425691514,5.617323100802,0.00571389105668314,0.151346290673823,0.133817680513334,"116443/8851",2
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","4/79","170/18805",0.0235294117647059,5.60089352196575,3.91397549330317,0.00572274968111687,0.151346290673823,0.133817680513334,"2830/5028/7224/2785",4
"GO:0001964","GO:0001964","startle response","2/79","28/18805",0.0714285714285714,17.002712477396,5.50396510984031,0.00613675015709102,0.156698741080203,0.138550221332509,"1812/116443",2
"GO:0086013","GO:0086013","membrane repolarization during cardiac muscle cell action potential","2/79","28/18805",0.0714285714285714,17.002712477396,5.50396510984031,0.00613675015709102,0.156698741080203,0.138550221332509,"3760/3759",2
"GO:0007611","GO:0007611","learning or memory","5/79","282/18805",0.0177304964539007,4.22053146602029,3.53926103599058,0.00668892051432834,0.167903242063055,0.148457040496422,"55450/54112/1812/793/4761",5
"GO:0099625","GO:0099625","ventricular cardiac muscle cell membrane repolarization","2/79","30/18805",0.0666666666666667,15.8691983122363,5.29388332780987,0.00702393698887465,0.169111504619812,0.149525364616401,"3760/2697",2
"GO:0006470","GO:0006470","protein dephosphorylation","3/79","95/18805",0.0315789473684211,7.51698867421719,4.13607144994278,0.00748597567686777,0.169111504619812,0.149525364616401,"22843/1845/5775",3
"GO:0001963","GO:0001963","synaptic transmission, dopaminergic","2/79","31/18805",0.0645161290322581,15.3572886892609,5.19626188185595,0.00748802365121316,0.169111504619812,0.149525364616401,"1812/23551",2
"GO:0003338","GO:0003338","metanephros morphogenesis","2/79","31/18805",0.0645161290322581,15.3572886892609,5.19626188185595,0.00748802365121316,0.169111504619812,0.149525364616401,"10409/793",2
"GO:0086019","GO:0086019","cell-cell signaling involved in cardiac conduction","2/79","31/18805",0.0645161290322581,15.3572886892609,5.19626188185595,0.00748802365121316,0.169111504619812,0.149525364616401,"3760/2697",2
"GO:0099505","GO:0099505","regulation of presynaptic membrane potential","2/79","31/18805",0.0645161290322581,15.3572886892609,5.19626188185595,0.00748802365121316,0.169111504619812,0.149525364616401,"3739/3760",2
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","4/79","184/18805",0.0217391304347826,5.17473858007705,3.69617779973649,0.00753636685003888,0.169111504619812,0.149525364616401,"83550/2830/1812/2849",4
"GO:0030900","GO:0030900","forebrain development","6/79","413/18805",0.0145278450363196,3.4581788089619,3.280878703826,0.00781607822606033,0.172770326161125,0.152760429115775,"4747/63974/7280/1812/8851/4142",6
"GO:0051899","GO:0051899","membrane depolarization","3/79","98/18805",0.0306122448979592,7.28687677602687,4.05286437054858,0.00815247136053084,0.177218638611506,0.15669354734192,"10962/2697/3759",3
"GO:0086011","GO:0086011","membrane repolarization during action potential","2/79","33/18805",0.0606060606060606,14.4265439202148,5.013974159147,0.00845658638750176,0.177218638611506,0.15669354734192,"3760/3759",2
"GO:1902932","GO:1902932","positive regulation of alcohol biosynthetic process","2/79","33/18805",0.0606060606060606,14.4265439202148,5.013974159147,0.00845658638750176,0.177218638611506,0.15669354734192,"5028/4142",2
"GO:0001764","GO:0001764","neuron migration","4/79","191/18805",0.0209424083769634,4.98508847504805,3.59543096225017,0.00857059600927598,0.177218638611506,0.15669354734192,"7280/1812/8851/2697",4
"GO:0006576","GO:0006576","biogenic amine metabolic process","3/79","100/18805",0.03,7.14113924050633,3.99932083383855,0.00861562591494157,0.177218638611506,0.15669354734192,"1812/9365/114798",3
"GO:0009584","GO:0009584","detection of visible light","2/79","34/18805",0.0588235294117647,14.0022338049144,4.92867160475777,0.00896082584863427,0.181794288792155,0.160739255309315,"54112/23596",2
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","3/79","103/18805",0.029126213592233,6.93314489369547,3.92171200648602,0.00933886459300544,0.18440559560483,0.163048126040306,"57586/1812/5028",3
"GO:0043086","GO:0043086","negative regulation of catalytic activity","5/79","306/18805",0.0163398692810458,3.88950939025399,3.30999131762693,0.00933888993748777,0.18440559560483,0.163048126040306,"9568/7532/22843/1845/9495",5
"GO:0090075","GO:0090075","relaxation of muscle","2/79","35/18805",0.0571428571428571,13.6021699819168,4.84689237629105,0.00947821418708991,0.18440559560483,0.163048126040306,"5028/3759",2
"GO:0043266","GO:0043266","regulation of potassium ion transport","3/79","104/18805",0.0288461538461538,6.86648003894839,3.89652986475322,0.00958759680052123,0.18440559560483,0.163048126040306,"1812/3787/3759",3
"GO:0007617","GO:0007617","mating behavior","2/79","36/18805",0.0555555555555556,13.2243319268636,4.76839226019059,0.0100086349263426,0.190035747768121,0.168026205780975,"1812/5028",2
"GO:0099171","GO:0099171","presynaptic modulation of chemical synaptic transmission","2/79","37/18805",0.0540540540540541,12.8669175504619,4.6929502144729,0.0105519723147293,0.196583045458336,0.173815209175997,"1812/116443",2
"GO:0007616","GO:0007616","long-term memory","2/79","38/18805",0.0526315789473684,12.5283144570286,4.62036561206496,0.0111081113215411,0.196583045458336,0.173815209175997,"55450/793",2
"GO:0016051","GO:0016051","carbohydrate biosynthetic process","4/79","207/18805",0.0193236714975845,4.59976762673516,3.3825379310824,0.0112733236953275,0.196583045458336,0.173815209175997,"5028/8707/4142/2026",4
"GO:0050803","GO:0050803","regulation of synapse structure or activity","5/79","321/18805",0.0155763239875389,3.70775661500848,3.17819338315725,0.0113210737529799,0.196583045458336,0.173815209175997,"4747/114798/57084/8851/4761",5
"GO:0009308","GO:0009308","amine metabolic process","3/79","111/18805",0.027027027027027,6.43345877523093,3.72909033421077,0.0114370445169189,0.196583045458336,0.173815209175997,"1812/9365/114798",3
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","3/79","111/18805",0.027027027027027,6.43345877523093,3.72909033421077,0.0114370445169189,0.196583045458336,0.173815209175997,"1812/116443/57084",3
"GO:0060291","GO:0060291","long-term synaptic potentiation","3/79","111/18805",0.027027027027027,6.43345877523093,3.72909033421077,0.0114370445169189,0.196583045458336,0.173815209175997,"1812/793/9495",3
"GO:0019228","GO:0019228","neuronal action potential","2/79","39/18805",0.0512820512820513,12.2070756247971,4.55045587494516,0.0116769376331345,0.196583045458336,0.173815209175997,"54112/1812",2
"GO:0043270","GO:0043270","positive regulation of monoatomic ion transport","4/79","210/18805",0.019047619047619,4.53405666063894,3.34503927698254,0.0118345439916491,0.196583045458336,0.173815209175997,"1812/5028/9495/3759",4
"GO:0034764","GO:0034764","positive regulation of transmembrane transport","4/79","211/18805",0.018957345971564,4.51256824044634,3.33269632026401,0.0120255399495575,0.196583045458336,0.173815209175997,"1812/23596/9495/3759",4
"GO:0060074","GO:0060074","synapse maturation","2/79","40/18805",0.05,11.9018987341772,4.48305443522997,0.0122583376490611,0.196583045458336,0.173815209175997,"4747/4761",2
"GO:0086091","GO:0086091","regulation of heart rate by cardiac conduction","2/79","40/18805",0.05,11.9018987341772,4.48305443522997,0.0122583376490611,0.196583045458336,0.173815209175997,"3760/3759",2
"GO:0007218","GO:0007218","neuropeptide signaling pathway","3/79","114/18805",0.0263157894736842,6.26415722851432,3.66168656428146,0.0122882629782332,0.196583045458336,0.173815209175997,"344758/5173/11249",3
"GO:0050890","GO:0050890","cognition","5/79","329/18805",0.0151975683890578,3.61759839944596,3.11109409117741,0.0124878190860758,0.196583045458336,0.173815209175997,"55450/54112/1812/793/4761",5
"GO:0008016","GO:0008016","regulation of heart contraction","4/79","214/18805",0.0186915887850467,4.44930793801017,3.29612472117814,0.0126103955404897,0.196583045458336,0.173815209175997,"3760/2697/3759/157378",4
"GO:0055074","GO:0055074","calcium ion homeostasis","5/79","331/18805",0.0151057401812689,3.59573979884508,3.09464502936807,0.0127918049723528,0.196583045458336,0.173815209175997,"1812/5028/793/9365/7224",5
"GO:0007626","GO:0007626","locomotory behavior","4/79","215/18805",0.0186046511627907,4.42861348248455,3.28408372866398,0.0128093266710502,0.196583045458336,0.173815209175997,"54112/1812/793/23551",4
"GO:1990806","GO:1990806","ligand-gated ion channel signaling pathway","2/79","41/18805",0.0487804878048781,11.6116085211485,4.41800897109637,0.0128521984782171,0.196583045458336,0.173815209175997,"116443/8851",2
"GO:0070252","GO:0070252","actin-mediated cell contraction","3/79","116/18805",0.0258620689655172,6.15615451767787,3.61807898558928,0.0128754594256979,0.196583045458336,0.173815209175997,"3760/2697/3759",3
"GO:0060306","GO:0060306","regulation of membrane repolarization","2/79","42/18805",0.0476190476190476,11.3351416515973,4.3551798747864,0.0134584079350121,0.20118030760613,0.177880026057803,"2697/3759",2
"GO:0003012","GO:0003012","muscle system process","6/79","467/18805",0.012847965738758,3.05830374325753,2.92555372097213,0.0137432241673559,0.20118030760613,0.177880026057803,"1812/5028/3760/9868/2697/3759",6
"GO:0001662","GO:0001662","behavioral fear response","2/79","43/18805",0.0465116279069767,11.0715337062114,4.29443891743682,0.0140768545355559,0.20118030760613,0.177880026057803,"1812/4761",2
"GO:0043268","GO:0043268","positive regulation of potassium ion transport","2/79","43/18805",0.0465116279069767,11.0715337062114,4.29443891743682,0.0140768545355559,0.20118030760613,0.177880026057803,"1812/3759",2
"GO:0043647","GO:0043647","inositol phosphate metabolic process","2/79","43/18805",0.0465116279069767,11.0715337062114,4.29443891743682,0.0140768545355559,0.20118030760613,0.177880026057803,"5028/4142",2
"GO:0015695","GO:0015695","organic cation transport","3/79","120/18805",0.025,5.95094936708861,3.5338549061689,0.014097460147665,0.20118030760613,0.177880026057803,"5028/388662/6534",3
"GO:0043269","GO:0043269","regulation of monoatomic ion transport","6/79","472/18805",0.0127118644067797,3.02590645784167,2.89527470639584,0.0144170193162676,0.20118030760613,0.177880026057803,"1812/5028/3787/3760/9495/3759",6
"GO:0002209","GO:0002209","behavioral defense response","2/79","44/18805",0.0454545454545455,10.8199079401611,4.23566808151749,0.0147074274938657,0.20118030760613,0.177880026057803,"1812/4761",2
"GO:0098703","GO:0098703","calcium ion import across plasma membrane","2/79","44/18805",0.0454545454545455,10.8199079401611,4.23566808151749,0.0147074274938657,0.20118030760613,0.177880026057803,"728215/9495",2
"GO:1902656","GO:1902656","calcium ion import into cytosol","2/79","44/18805",0.0454545454545455,10.8199079401611,4.23566808151749,0.0147074274938657,0.20118030760613,0.177880026057803,"728215/9495",2
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","5/79","344/18805",0.0145348837209302,3.45985428319105,2.99072959718296,0.014890969121837,0.20118030760613,0.177880026057803,"54112/23596/2697/4761/3759",5
"GO:0104004","GO:0104004","cellular response to environmental stimulus","5/79","344/18805",0.0145348837209302,3.45985428319105,2.99072959718296,0.014890969121837,0.20118030760613,0.177880026057803,"54112/23596/2697/4761/3759",5
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","5/79","345/18805",0.0144927536231884,3.44982572005137,2.98294363037677,0.0150614539858033,0.20118030760613,0.177880026057803,"1812/3787/3760/9495/3759",5
"GO:0034762","GO:0034762","regulation of transmembrane transport","6/79","478/18805",0.0125523012552301,2.98792436841269,2.85946162926274,0.0152557206406353,0.20118030760613,0.177880026057803,"1812/3787/3760/23596/9495/3759",6
"GO:0051602","GO:0051602","response to electrical stimulus","2/79","45/18805",0.0444444444444444,10.5794655414909,4.17875853655588,0.015350016718091,0.20118030760613,0.177880026057803,"3760/4761",2
"GO:1990776","GO:1990776","response to angiotensin","2/79","45/18805",0.0444444444444444,10.5794655414909,4.17875853655588,0.015350016718091,0.20118030760613,0.177880026057803,"9365/4142",2
"GO:0070588","GO:0070588","calcium ion transmembrane transport","5/79","350/18805",0.0142857142857143,3.4005424954792,2.94443894423792,0.0159335864713073,0.204333478162138,0.180668003009133,"1812/116443/7224/728215/9495",5
"GO:0019098","GO:0019098","reproductive behavior","2/79","46/18805",0.0434782608695652,10.3494771601541,4.12360973780979,0.0160045128067576,0.204333478162138,0.180668003009133,"1812/5028",2
"GO:1990573","GO:1990573","potassium ion import across plasma membrane","2/79","46/18805",0.0434782608695652,10.3494771601541,4.12360973780979,0.0160045128067576,0.204333478162138,0.180668003009133,"3760/3759",2
"GO:0048588","GO:0048588","developmental cell growth","4/79","232/18805",0.0172413793103448,4.10410301178525,3.08997699176867,0.0165026468939437,0.208892479059236,0.184698989978101,"51299/7224/114798/9868",4
"GO:0007613","GO:0007613","memory","3/79","129/18805",0.0232558139534884,5.53576685310568,3.35752923439546,0.0170809662489291,0.209899751217855,0.185589601986575,"55450/1812/793",3
"GO:0007602","GO:0007602","phototransduction","2/79","48/18805",0.0416666666666667,9.91824894514768,4.0182289473835,0.0173487914009969,0.209899751217855,0.185589601986575,"54112/23596",2
"GO:0099054","GO:0099054","presynapse assembly","2/79","48/18805",0.0416666666666667,9.91824894514768,4.0182289473835,0.0173487914009969,0.209899751217855,0.185589601986575,"114798/8927",2
"GO:1900271","GO:1900271","regulation of long-term synaptic potentiation","2/79","48/18805",0.0416666666666667,9.91824894514768,4.0182289473835,0.0173487914009969,0.209899751217855,0.185589601986575,"793/9495",2
"GO:2000300","GO:2000300","regulation of synaptic vesicle exocytosis","2/79","48/18805",0.0416666666666667,9.91824894514768,4.0182289473835,0.0173487914009969,0.209899751217855,0.185589601986575,"57586/5028",2
"GO:0021987","GO:0021987","cerebral cortex development","3/79","130/18805",0.0230769230769231,5.49318403115872,3.33896398774007,0.0174325924374046,0.209899751217855,0.185589601986575,"4747/7280/8851",3
"GO:0046942","GO:0046942","carboxylic acid transport","5/79","360/18805",0.0138888888888889,3.30608298171589,2.86947872282701,0.0177780048034996,0.210352826543511,0.18599020307767,"388662/57084/2697/225/6534",5
"GO:0015849","GO:0015849","organic acid transport","5/79","361/18805",0.0138504155124654,3.2969248571128,2.86212758395365,0.0179699063825374,0.210352826543511,0.18599020307767,"388662/57084/2697/225/6534",5
"GO:0042596","GO:0042596","fear response","2/79","49/18805",0.0408163265306122,9.71583570136915,3.96783058095173,0.0180383585219621,0.210352826543511,0.18599020307767,"1812/4761",2
"GO:0046189","GO:0046189","phenol-containing compound biosynthetic process","2/79","49/18805",0.0408163265306122,9.71583570136915,3.96783058095173,0.0180383585219621,0.210352826543511,0.18599020307767,"9365/23596",2
"GO:0008406","GO:0008406","gonad development","4/79","240/18805",0.0166666666666667,3.96729957805907,3.00493924903746,0.0184495352858044,0.213466888736534,0.188743601114644,"344758/10409/2697/4142",4
"GO:0003254","GO:0003254","regulation of membrane depolarization","2/79","51/18805",0.0392156862745098,9.33482253660958,3.87124490640895,0.0194518150221471,0.223122351340541,0.197280788277929,"10962/2697",2
"GO:0006469","GO:0006469","negative regulation of protein kinase activity","3/79","136/18805",0.0220588235294118,5.25083767684289,3.23146610508045,0.0196273182038913,0.223122351340541,0.197280788277929,"7532/22843/1845",3
"GO:0045137","GO:0045137","development of primary sexual characteristics","4/79","245/18805",0.0163265306122449,3.88633428054766,2.95363510463561,0.0197360081199263,0.223122351340541,0.197280788277929,"344758/10409/2697/4142",4
"GO:0030048","GO:0030048","actin filament-based movement","3/79","139/18805",0.0215827338129496,5.13751024496858,3.18007240971685,0.0207794232636353,0.232843612490932,0.205876153337872,"3760/2697/3759",3
"GO:0090102","GO:0090102","cochlea development","2/79","53/18805",0.0377358490566038,8.9825650823979,3.77983431194519,0.0209103311690033,0.232843612490932,0.205876153337872,"793/5456",2
"GO:1904064","GO:1904064","positive regulation of cation transmembrane transport","3/79","142/18805",0.0211267605633803,5.02897129613122,3.13014008966855,0.0219680884361602,0.240534492445277,0.212676291696169,"1812/9495/3759",3
"GO:0060047","GO:0060047","heart contraction","4/79","254/18805",0.015748031496063,3.7486295225755,2.86461037062591,0.0221889195303682,0.240534492445277,0.212676291696169,"3760/2697/3759/157378",4
"GO:0050770","GO:0050770","regulation of axonogenesis","3/79","143/18805",0.020979020979021,4.99380366468974,3.11380774632535,0.0223724392912922,0.240534492445277,0.212676291696169,"4747/7224/114798",3
"GO:0007215","GO:0007215","glutamate receptor signaling pathway","2/79","55/18805",0.0363636363636364,8.65592635212888,3.69313015129162,0.022413072219749,0.240534492445277,0.212676291696169,"116443/8851",2
"GO:0050885","GO:0050885","neuromuscular process controlling balance","2/79","55/18805",0.0363636363636364,8.65592635212888,3.69313015129162,0.022413072219749,0.240534492445277,0.212676291696169,"4747/54112",2
"GO:0033673","GO:0033673","negative regulation of kinase activity","3/79","144/18805",0.0208333333333333,4.95912447257384,3.09762687029309,0.0227808555648393,0.242722640946238,0.214611013424159,"7532/22843/1845",3
