"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099643","GO:0099643","signal release from synapse","75/3444","148/18805",0.506756756756757,2.76700371974762,10.2186697506877,3.8551069510775e-19,2.058871061671e-16,1.66351835714538e-16,"4208/22987/57586/9783/9899/93664/135/6855/815/6804/6857/5028/6623/10814/6616/9378/79772/6622/134957/9627/8448/22895/440279/8618/63908/26059/9381/9900/286097/5217/6860/84446/9066/9379/6812/8825/9498/8499/9751/6853/6854/8775/8938/84062/112476/9143/8541/5864/90342/27345/594855/55784/23025/785/10497/8867/23208/8224/3351/23396/2914/112755/2332/5538/57512/54407/5413/51248/140679/28964/6844/127833/200933/80331/55327",75
"GO:0016358","GO:0016358","dendrite development","104/3444","242/18805",0.429752066115702,2.34654111594245,9.98274936808718,3.99328474867495e-19,2.058871061671e-16,1.66351835714538e-16,"4208/1996/815/25830/2043/7533/7224/23072/22903/348/116443/23316/6383/22891/4131/144165/221692/29993/8851/9201/50944/5802/9922/56896/120114/9693/7804/22849/5911/1630/547/8499/4734/80725/5530/26012/1952/84062/6801/8440/1141/1501/23043/1496/4205/4130/1982/1072/10371/998/1139/23542/85442/26037/55619/27067/1600/5063/57465/57520/5789/114788/3706/26052/91137/10611/9148/124925/351/11141/26259/23345/8550/57468/57118/54664/23327/2332/1398/5048/55079/100528062/22906/50488/23011/221935/50807/9912/23242/1608/4139/65981/1399/23271/84079/3251/5728/23363/1902/7436/7074/4133/23237/6792",104
"GO:0006836","GO:0006836","neurotransmitter transport","94/3444","211/18805",0.445497630331754,2.43251537119298,9.90834347618745,1.09136781428246e-18,5.19407128228123e-16,4.19668481783597e-16,"4208/22987/57586/9783/9899/93664/135/6855/57030/1812/815/6804/6857/5028/1813/388662/6623/10814/6616/9378/57084/79772/6622/6534/134957/1814/9627/8448/22895/440279/8618/63908/10211/26059/9381/9900/286097/5217/81539/5865/60482/6860/84446/9066/9379/6812/8825/9498/8499/9751/55117/6853/6854/8775/8938/84062/112476/9143/8541/4842/5864/90342/27345/594855/1103/55784/23025/785/351/10497/8867/23208/8224/3351/23396/2914/112755/2332/5538/57512/54407/2030/5413/51248/140679/2055/28964/2670/6844/127833/200933/80331/6506/55327",94
"GO:0001508","GO:0001508","action potential","83/3444","177/18805",0.468926553672316,2.56044246277814,9.87638989495385,2.46302964202256e-18,1.08848317108526e-15,8.79468253380838e-16,"3747/3760/1812/54112/7533/3739/817/4897/27012/2257/6323/55800/5774/9722/7871/3787/3745/30819/348980/3759/3737/6335/481/3788/51305/8913/8506/5318/6328/6334/3742/808/9312/6543/6324/1141/6262/4842/1756/784/3777/9472/10242/3785/3776/27345/23171/1832/2767/6330/3741/3749/3790/6508/3748/785/29119/3746/6332/801/6326/2316/23327/2258/11280/3736/476/2332/6647/3738/287/3755/1137/1739/4915/10142/57369/3781/8911/7341/3752/6869/79784",83
"GO:0007611","GO:0007611","learning or memory","113/3444","282/18805",0.400709219858156,2.18796076638578,9.51739154938829,7.44512154381817e-18,2.88450094313852e-15,2.33060746709397e-15,"4208/1996/338811/84152/64084/1812/54112/4212/793/3356/2903/5176/5923/5153/10716/1813/55450/107/6616/9378/26047/348/2334/4311/23316/1814/5575/10636/29767/50944/4137/4761/894/4986/814/4885/6860/84446/9379/22849/2558/7419/6543/114/10396/1393/65009/10550/5803/84062/5621/1141/5743/51247/22986/109/3269/2821/3156/4130/5532/1139/1956/23542/3776/57338/5594/8701/3949/85461/84197/57144/8850/1392/3845/92521/351/8622/6326/57468/8867/27087/23208/2258/4593/8704/54207/5538/5048/3643/100528062/9215/7143/7416/6446/2237/3064/431707/2055/9867/28964/9369/4915/164312/6285/2740/10769/5728/8516/7436/25769/6869/23237",113
"GO:0050890","GO:0050890","cognition","126/3444","329/18805",0.382978723404255,2.09114834309437,9.45419852809145,7.4595143187678e-18,2.88450094313852e-15,2.33060746709397e-15,"4208/1996/338811/84152/2778/64084/1812/54112/4212/793/3356/2903/5176/5923/5153/10716/1813/55450/107/6616/9378/26047/348/2334/4311/23316/1814/5575/10636/29767/50944/4137/4761/894/4986/814/4885/10752/6860/84446/9379/22849/2558/7419/6543/114/10396/1393/65009/10550/5803/84062/5621/1141/11170/5743/51247/22986/109/3269/2821/3156/4130/5532/1139/1956/23542/3776/57338/5594/8701/3949/85461/84197/57144/55636/8850/1392/3845/92521/351/9993/7991/8622/6326/57468/8867/27087/23208/2258/4593/57477/8704/54207/5538/151556/5048/3643/57512/100528062/9215/7143/1137/7416/6446/2237/3064/431707/2055/9867/28964/9369/4915/134/164312/6285/152789/2740/10769/5728/55084/8516/7436/25769/6869/23237",126
"GO:0023061","GO:0023061","signal release","170/3444","497/18805",0.3420523138833,1.86768111573039,9.2824973967345,8.36145927466141e-18,3.04307932543119e-15,2.4587349904252e-15,"4208/22987/57586/9783/3358/9899/93664/2044/135/6855/2778/1113/1131/815/6804/6857/5028/3356/111/4826/1813/19/130399/6623/10814/6616/2308/9378/387597/79772/6622/7432/7447/818/116/134957/5581/1814/9627/8448/1910/22895/358/440279/3745/25924/8618/5127/63908/3737/26059/9381/9900/4602/4986/286097/6664/5217/51305/2029/1080/6860/3350/84446/9066/9379/2912/6812/117247/8825/2781/9498/8499/9751/65985/6853/114/6854/5530/8775/1946/6845/2182/2746/1393/8938/9607/84062/23178/112476/1141/100507043/5743/9143/8541/5864/11069/5861/5532/1956/94121/90342/952/25874/133308/27345/2767/594855/54972/55636/55737/8792/3741/79751/1392/55784/23025/785/65018/55638/10497/8622/9575/8867/3670/23208/6934/8224/3351/80223/5566/51167/23396/2914/4089/112755/2332/5538/57512/54407/150/4988/1137/5413/5573/51248/140679/56262/4856/100381270/28964/6844/127833/200933/26056/151/6566/80331/4129/134/55585/2740/654/7260/114899/55327/8723/5578/6869/7074",170
"GO:0006813","GO:0006813","potassium ion transport","101/3444","245/18805",0.412244897959184,2.25094811443741,9.33211970950932,4.24163319219893e-17,1.45794358667416e-14,1.17798339355279e-14,"3747/3760/27133/3763/57030/1812/84679/53826/5999/3356/1813/3739/88/6616/27012/57628/57084/478/1814/7881/90134/9722/3787/358/3745/30819/11261/30818/348980/3759/3737/3775/481/468/3765/4986/3788/3782/51305/8514/57582/3742/51719/4734/9312/1258/5621/23416/56660/4842/3777/3780/9472/10242/3756/343450/3785/3776/3758/27345/27347/1027/3741/3749/3790/57463/284525/3748/57419/3746/131096/9033/57468/3768/2316/23327/4905/3736/3778/54207/476/23415/3738/287/150/9215/3755/6844/1739/134/6560/10142/79041/3781/7341/3752/2185/219527/25769/27069/6558",101
"GO:1901888","GO:1901888","regulation of cell junction assembly","107/3444","270/18805",0.396296296296296,2.16386522992214,9.12084822537997,1.41248336459997e-16,4.59949188251578e-14,3.71627894652922e-14,"4208/147381/342184/64084/5583/22883/6616/9378/257194/26047/84525/158038/6622/84189/23316/2045/4131/114798/144165/145581/1845/3360/9201/9748/25945/5802/10211/627/23768/2895/9693/57633/23767/5818/6585/9379/139065/8825/3556/5911/2042/7474/7070/1793/1946/5881/1636/51057/65078/7082/1141/9746/11170/10395/4867/387804/55619/27067/79953/5789/55737/23499/10611/395/9732/57463/9148/57524/1108/79834/351/5783/23122/11141/6093/57142/1499/84628/57468/26073/23096/4593/5566/26999/51517/100528062/261734/6281/51248/9113/3551/6385/1981/22998/7094/4915/4139/5728/4738/57662/2185/347730/7436/23332/55327/9448/8321",107
"GO:0099173","GO:0099173","postsynapse organization","98/3444","243/18805",0.403292181069959,2.20206430459366,8.93028669649715,6.97139650831188e-16,2.15660150984628e-13,1.74248221147227e-13,"389941/4747/4884/2043/88/4897/9378/348/23316/22891/2045/4131/4744/144165/8851/9722/2596/3360/9201/50944/9252/25945/5802/2895/7804/9118/66000/9379/8506/3556/57497/547/64101/8499/7474/1793/80725/5881/84062/65078/5621/1501/388135/1072/998/1139/26037/55619/4983/27067/5063/79953/85461/5789/3706/26052/653269/55737/10611/1000/9732/9148/6712/57524/351/11141/57142/84628/57468/4593/26999/51517/23184/1398/5048/3643/100528062/2743/50807/114784/9113/1739/9912/87/375/4139/65981/1399/23012/28988/5728/4738/2185/347730/60/7074/23237/6792",98
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","162/3444","487/18805",0.33264887063655,1.81633624051113,8.64254159451785,9.09757673171799e-16,2.68031939233996e-13,2.1656336791443e-13,"3925/5924/440193/139818/84033/5923/19/1012/221178/4233/348/5909/115557/50650/3984/8997/1122/1123/376267/398/57568/23108/55103/11261/56990/153020/10564/10211/10900/3685/9922/10144/85004/50861/4254/9693/8567/2664/9077/23263/613/9290/5911/10982/3479/29/9901/4925/9826/10235/1793/6091/7126/5881/55667/10971/65078/440073/10395/5899/9815/121512/2909/81704/26230/11069/23433/1072/998/85442/286205/26037/55619/4983/1600/2782/84253/26053/388/85440/6655/1795/64283/395/2247/27314/3845/5877/9732/10928/22821/6386/121268/4650/6093/57142/117178/9750/5867/8550/6478/1452/23096/6009/9363/54734/8153/9411/23075/23189/2064/57449/23365/221472/8452/1398/23348/5962/150/23011/27289/7204/27352/28512/10602/83478/3988/51495/9908/27/10044/28964/26030/9912/8878/8216/11337/10451/55738/5364/1399/6016/80005/10125/28988/2059/10769/57636/1902/221938/4649/201475/4893/51196/255426/7074/11188/201176/7409/6792/5516/9448",162
"GO:0048813","GO:0048813","dendrite morphogenesis","68/3444","144/18805",0.472222222222222,2.57843754032778,9.00301842551893,1.80146918946987e-15,5.06622267056822e-13,4.09338621090546e-13,"1996/25830/2043/7533/7224/23072/22903/23316/6383/22891/221692/8851/9201/50944/56896/9693/7804/5911/547/8499/4734/80725/5530/26012/1952/84062/1141/1501/23043/1496/4205/1072/10371/998/1139/23542/85442/26037/55619/27067/5063/57465/57520/5789/3706/26052/10611/11141/26259/23345/54664/23327/5048/100528062/22906/50488/23011/9912/65981/84079/3251/5728/23363/7436/7074/4133/23237/6792",68
"GO:0051963","GO:0051963","regulation of synapse assembly","74/3444","169/18805",0.437869822485207,2.39086585709475,8.6000147420244,1.57477981915728e-14,4.23615771353308e-12,3.42271366644298e-12,"4208/147381/64084/22883/6616/9378/257194/158038/6622/84189/23316/2045/4131/114798/144165/145581/3360/9201/25945/5802/627/23768/2895/57633/23767/5818/6585/9379/139065/8825/3556/5911/7474/1793/1946/5881/65078/1141/9746/387804/55619/27067/79953/5789/55737/10611/9732/57463/9148/57524/1108/351/5783/11141/57142/1499/84628/57468/23096/4593/26999/51517/100528062/51248/9113/1981/4915/4139/4738/2185/347730/7436/55327/8321",74
"GO:0071805","GO:0071805","potassium ion transmembrane transport","87/3444","216/18805",0.402777777777778,2.19925554910311,8.39377931190112,3.20621889876758e-14,8.2653651361146e-12,6.67821646940669e-12,"3747/3760/27133/3763/57030/84679/5999/3739/88/6616/27012/57628/57084/478/7881/90134/9722/3787/358/3745/30819/30818/348980/3759/3737/3775/481/3765/4986/3788/3782/51305/8514/57582/3742/51719/4734/9312/5621/23416/56660/3777/3780/9472/10242/3756/343450/3785/3776/3758/27345/27347/3741/3749/3790/57463/284525/3748/57419/3746/131096/9033/57468/3768/2316/23327/3736/3778/54207/476/23415/3738/287/9215/3755/6844/1739/6560/10142/79041/3781/7341/3752/219527/25769/27069/6558",87
"GO:0006887","GO:0006887","exocytosis","125/3444","358/18805",0.349162011173184,1.9065016318559,8.199628527699,3.61481971861951e-14,8.94595583963956e-12,7.22811740788381e-12,"22987/57586/9783/9899/93664/6855/54843/1113/5874/6804/6857/5028/94122/10814/6616/9145/5058/6622/7447/134957/5286/8448/22895/376267/440279/85477/3745/8618/5127/10564/63908/148281/26059/9381/192683/9900/5217/5865/203190/1080/6860/84446/9066/6812/8825/613/286/9498/51760/8499/261729/9751/6853/80725/6854/8775/6845/23233/1393/8938/57102/55207/84062/9515/326624/112476/3134/5899/9143/8541/142684/5864/11069/5532/3598/94121/8027/29091/115827/23400/9805/594855/23025/785/11336/6386/23122/11141/8766/10497/84258/6284/203228/8867/10966/23208/4905/3351/11280/8492/80223/5293/23396/112755/2332/10890/150/23011/5413/6281/4627/6385/28964/6844/127833/9912/200933/26056/3684/80331/10125/23332/55327/8723/201475",125
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","52/3444","102/18805",0.509803921568627,2.78364191204937,8.55261782362067,7.63346302108353e-14,1.8164706042863e-11,1.46766461081480e-11,"22987/57586/9783/9899/93664/6855/6804/6857/5028/10814/6616/6622/134957/8448/22895/440279/8618/63908/26059/9381/9900/5217/6860/84446/9066/6812/9498/8499/9751/6853/8775/84062/112476/9143/8541/5864/594855/23025/785/10497/8867/23208/3351/23396/112755/2332/5413/28964/6844/127833/200933/80331",52
"GO:0031346","GO:0031346","positive regulation of cell projection organization","124/3444","360/18805",0.344444444444444,1.88074267647438,7.98928491506343,1.39871642672929e-13,3.20513278969412e-11,2.58967029650581e-11,"1996/8507/4747/11075/139818/5274/2043/5176/7224/257194/348/54874/1272/5295/23316/3984/4131/114798/8837/29993/53904/8482/2823/10801/4137/627/322/9693/7804/2664/57554/9896/2042/7474/6324/25940/1946/6091/65009/5997/10154/1756/2909/2335/26230/1982/23433/51761/998/27067/57465/26053/2803/5789/10690/3706/26052/8724/8100/8850/23499/6376/57463/9148/989/285016/9760/11141/5979/5526/26259/1857/9750/5605/22902/57118/2316/54664/51199/8153/51517/23426/538/1954/2332/5048/100528062/22906/23011/64175/160/10602/50807/3064/3897/27/23129/140578/23242/7429/950/5364/4915/65981/5290/79625/84079/5064/23300/2059/163404/27020/51393/6624/81565/23363/2185/7436/51196/7074/8428/6792/324/8321",124
"GO:0021954","GO:0021954","central nervous system neuron development","48/3444","94/18805",0.51063829787234,2.7881977907925,8.22958489093155,6.36220797663843e-13,1.37929761914463e-10,1.11443934111726e-10,"1812/2043/1813/5361/56978/9201/4137/1009/9693/57282/1630/7474/6324/6091/5881/1141/26468/2909/4781/57704/4929/79048/79600/64283/9331/23287/22911/91584/51199/57178/538/1398/5048/55079/9334/170302/431707/200933/4915/1399/79625/3251/5728/81565/23334/2560/55681/4133",48
"GO:0007626","GO:0007626","locomotory behavior","84/3444","215/18805",0.390697674418605,2.1332955190017,7.91351909685563,6.46510925411256e-13,1.37929761914463e-10,1.11443934111726e-10,"1996/5179/55074/84152/3358/135/1812/54112/793/111/2043/5153/2788/1813/6623/6616/321/257194/348/2257/6622/84189/1272/6323/5581/1814/5090/23551/894/3398/4986/9293/10752/57282/9896/114/2911/463/6801/1141/5532/1600/4929/57144/55636/55737/91137/7545/1392/785/60314/124925/351/23287/22911/28996/7345/51286/4211/538/8704/5538/56172/6647/5048/55079/81790/9215/57561/2743/1803/7143/460/2571/2055/26090/28964/372/2059/3251/5728/55084/347730/4045",84
"GO:0030900","GO:0030900","forebrain development","135/3444","413/18805",0.326876513317191,1.78481789574036,7.63618413524976,1.01450356124126e-12,2.09224451113322e-10,1.69048330257359e-10,"1996/3747/63974/4747/2044/26038/1812/64919/10716/1813/5122/4142/5361/7301/7280/22903/26047/56978/89927/221692/664/8851/358/5915/9201/8482/6496/5802/3737/57688/3398/27086/9693/7804/57282/66000/6585/583/146760/6753/7474/80055/2016/6091/5881/65078/1141/26468/10395/3400/10718/2909/4781/10371/79143/1956/6751/23224/5108/4983/1600/4929/2523/79048/85440/1745/55636/79600/84750/493/1000/2247/6867/7545/1392/3845/200894/3361/351/9760/3746/4677/23287/4771/22911/57142/55766/1499/151449/6326/91584/2316/3670/51199/57178/2258/114327/7482/3736/538/5101/1398/5048/6715/9513/55079/3738/54407/9215/10818/22884/7143/2618/170302/140679/431707/85458/200933/3684/1021/6506/4915/8648/1399/552/79625/79648/3251/3362/5728/81565/1902/23334/285025/55681",135
"GO:1990778","GO:1990778","protein localization to cell periphery","122/3444","362/18805",0.337016574585635,1.84018486791024,7.64293745581752,1.23002944392568e-12,2.45490069986071e-10,1.98350079090087e-10,"10439/389941/815/5028/4884/2903/817/88/5583/30845/22883/23167/9378/57628/6622/23136/818/5295/9495/55800/5581/6653/29993/7871/1173/10133/3745/7275/30818/25945/10211/2035/481/10098/9693/283576/2770/66000/57554/6812/583/5318/54585/5911/537/286/10580/2042/5593/9312/2181/55667/375567/10550/2319/5621/4644/64083/23043/784/10368/23433/1956/9530/112609/2803/54997/2037/55737/23499/493/1000/25999/59284/200894/23122/51304/8766/9482/6093/4040/2316/23096/2258/4905/23426/2064/112755/1213/5962/10890/57512/287/9215/10369/9053/6281/50807/3551/1981/9211/6844/1739/9912/8878/7429/11337/163882/950/8417/682/57560/598/55204/5064/92482/8500/91461/26060/60/9135/81831",122
"GO:0048588","GO:0048588","developmental cell growth","88/3444","232/18805",0.379310344827586,2.07111818655132,7.77297560003561,1.29617358878298e-12,2.5060706230626e-10,2.02484485958236e-10,"51299/10439/6857/5999/6456/7224/5361/4897/348/3984/114804/2045/4131/114798/144165/9868/9201/8482/6416/5802/4137/627/27086/2664/23767/6860/65059/66000/6585/214/57699/1630/3479/51760/7474/1946/2016/5997/65078/151835/344901/9746/2335/9472/1982/5532/10371/26053/2803/3676/8470/3913/23499/10611/59284/23025/351/23122/57142/84258/1499/91584/22902/203228/23327/51199/2258/8153/5465/26999/4211/1954/81628/5048/23011/7143/9962/3897/127833/6586/55364/23242/6285/51393/81565/7074/4133/6792",88
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","50/3444","103/18805",0.485436893203884,2.65059256001714,7.95355735652949,2.53875100366661e-12,4.75977347263191e-10,3.8457826208653e-10,"4208/22987/57586/9783/9899/135/1812/815/6804/6857/5028/1813/6623/79772/6622/134957/1814/9627/10211/9381/286097/5217/5865/6860/6812/9498/8499/6853/8938/84062/9143/4842/5864/90342/27345/594855/55784/785/351/23208/3351/112755/2332/57512/54407/5413/28964/2670/127833/200933",50
